-8.7093,-3.4130,-1.2293,4.4589,1.2982
-2.7890,2.2560,-0.7812,6.5532,7.0344
-1.7276,-4.7210,-6.0038,4.7662,-4.2428
4.6850,-3.3897,0.5053,4.6939,-8.5437
-7.8282,10.3027,-8.5303,-9.6099,-0.4965
-8.3264,10.1023,-8.2925,-7.7294,-1.1898
-4.0374,9.2684,5.6209,9.3228,-5.1791
6.5685,-4.5873,-8.1235,-5.5137,0.5486
-3.7610,-4.4093,8.3617,-7.5226,-4.5758
-6.8666,0.2835,-8.2278,-6.0508,9.3101
-5.9285,8.0822,-8.6883,-7.7927,-0.1405
-2.7268,9.1662,7.0077,9.7725,-5.3596
-3.0044,-4.2586,-9.9460,1.3433,3.7155
7.1462,-5.5282,-9.3625,-5.1697,-2.4738
